"Timestamp","Preferred Meeting Time","Other times you like?"
"2014/09/17 12:39:52 AM GMT","Sunday... sometime",""
"2014/09/17 12:40:10 AM GMT","Tuesday evening (after sports, before study hours)","wed during dinner in one of the rooms upstairs"
"2014/09/17 12:40:18 AM GMT","Sunday... sometime",""
"2014/09/17 12:40:26 AM GMT","Tuesday evening (after sports, before study hours)",""
"2014/09/17 12:42:09 AM GMT","Wednesday afternoon (1:30, just like old times!)","Saturday"
"2014/09/17 12:42:10 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 12:42:29 AM GMT","Sunday... sometime","Mondays after sports before study hours"
"2014/09/17 12:42:55 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 12:43:12 AM GMT","Wednesday afternoon (1:30, just like old times!)","Tuesday doesn't work because of crew"
"2014/09/17 12:43:41 AM GMT","Wednesday afternoon (1:30, just like old times!)","Sunday would be cool too"
"2014/09/17 12:43:48 AM GMT","Tuesday evening (after sports, before study hours)",""
"2014/09/17 12:43:57 AM GMT","Sunday... sometime","Friday Evening, or Thursday afternoon, or Saturday sometime"
"2014/09/17 12:45:02 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 12:45:10 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 12:45:16 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 12:45:23 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 12:45:29 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 12:45:34 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 12:45:39 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 12:45:44 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 12:45:49 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 12:45:54 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 12:46:00 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 12:46:04 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 12:46:09 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 12:46:15 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 12:46:20 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 12:46:25 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 12:46:30 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 12:48:03 AM GMT","Tuesday evening (after sports, before study hours)","I feel like this is the only question we'll get so I wanted to say that 1. this is Claire and 2. I AM SO SORRY I MISSED THE MEETING. We got back at 6:05."
"2014/09/17 12:48:54 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 12:52:40 AM GMT","Wednesday afternoon (1:30, just like old times!)","Sunday is also fine (not 4-5)"
"2014/09/17 1:05:41 AM GMT","Wednesday afternoon (1:30, just like old times!)","Wednesday after dinner"
"2014/09/17 1:32:00 AM GMT","Sunday... sometime",""
"2014/09/17 1:34:11 AM GMT","Sunday... sometime",""
"2014/09/17 2:20:17 AM GMT","Sunday... sometime","It would be great on Tuesdays if we could start at 5:15 or later because I'm in outdoor pursuits and we don't let out until 5. I also can't do wednesdays at 1:30, but after 5 would work. And I like sunday... sometime"
"2014/09/17 2:56:37 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 4:58:48 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 4:58:56 AM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 11:37:54 AM GMT","Sunday... sometime",""
"2014/09/17 11:38:35 AM GMT","Sunday... sometime",""
"2014/09/17 1:12:42 PM GMT","Wednesday afternoon (1:30, just like old times!)",""
"2014/09/17 1:23:43 PM GMT","Sunday... sometime",""
"2014/09/23 12:39:11 AM GMT","Tuesday evening (after sports, before study hours)",""
"2014/09/23 12:39:36 AM GMT","Sunday... sometime","After 5:00pm"
"2014/09/23 12:39:42 AM GMT","Tuesday evening (after sports, before study hours)",""
"2014/09/23 12:39:46 AM GMT","Tuesday evening (after sports, before study hours)",""
"2014/09/23 12:40:16 AM GMT","Tuesday evening (after sports, before study hours)",""
"2014/09/23 12:41:13 AM GMT","Tuesday evening (after sports, before study hours)",""
"2014/09/23 12:43:48 AM GMT","Tuesday evening (after sports, before study hours)",""
"2014/09/23 12:44:05 AM GMT","Tuesday evening (after sports, before study hours)",""
"2014/09/23 12:44:30 AM GMT","Tuesday evening (after sports, before study hours)",""
"2014/09/23 12:44:43 AM GMT","Tuesday evening (after sports, before study hours)",""
"2014/09/23 12:44:55 AM GMT","Tuesday evening (after sports, before study hours)",""
"2014/09/23 12:46:03 AM GMT","Tuesday evening (after sports, before study hours)",""
"2014/09/23 12:46:11 AM GMT","Sunday... sometime",""
"2014/09/23 12:46:16 AM GMT","Sunday... sometime",""
"2014/09/23 12:46:32 AM GMT","Sunday... sometime",""
"2014/09/23 12:46:39 AM GMT","Sunday... sometime",""
"2014/09/23 12:47:42 AM GMT","Sunday... sometime",""
"2014/09/23 12:47:52 AM GMT","Sunday... sometime",""
"2014/09/23 12:47:57 AM GMT","Sunday... sometime",""
"2014/09/23 12:48:22 AM GMT","Sunday... sometime",""
"2014/09/23 12:51:12 AM GMT","Sunday... sometime",""
"2014/09/23 12:51:24 AM GMT","Sunday... sometime",""
"2014/09/23 12:51:53 AM GMT","Sunday... sometime","https://docs.google.com/forms/d/1ZnO9n1dthXVxSMAw0Ce-5E6SsruJgRVFZnDb-psbsMo/viewform?usp=send_form"