"Timestamp","How did you like the meeting today? ","What topics would you like to see addressed in future meetings? (Optional)","Any other feedback? (Optional)"
"2017/01/22 7:52:13 PM GMT","5","","Go Miles!"
"2017/01/22 7:53:23 PM GMT","5","How encryption works ",""
"2017/01/22 7:58:08 PM GMT","4","I don't know if it will work, but creating your own server",""
"2017/01/22 8:01:19 PM GMT","5","Tor and cyber security are great topics.",""
"2017/01/22 8:10:50 PM GMT","5","More practical things","Great club"
"2017/01/22 8:11:56 PM GMT","4","",""
"2017/01/22 8:34:40 PM GMT","5","",""
"2017/01/22 8:43:05 PM GMT","5","More details on different methods of encryption and other ways to protect our data","I liked how I was able to understand this meeting despite having little prior experience with the topic. Nice job!"
"2017/01/22 8:50:52 PM GMT","5","BITCOIN and VPN","Really liked Miles talk style. Informative but not boring. Engaged. "
"2017/01/22 8:52:23 PM GMT","4","",""
"2017/01/23 5:07:09 PM GMT","4","computer identification via shared network connection",""